date,class,year,subject,code,lat,lng
2025-09-19,BCA(EA),1st,WT,T14XNS,28.706117113525668,77.12988826227051
2025-09-20,BCA(EA),1st,WT,TKDX1F,28.705946832009776,77.12984735247403
