token,class,year,subject,date,used,student_id
O3ODKEZ8,BCA(EA),1st,WT,2025-09-19,0,
JQ80VJFX,BCA(EA),1st,WT,2025-09-19,1,101
4VMENAAF,BCA(EA),1st,WT,2025-09-20,0,
